model_type,config_id,med,hv,time,lr,num_epochs,num_partitions,beta_C_0,beta_Q_0,rho_C,rho_Q,beta_C_max,beta_Q_max
MLP,17,0.004110177296513237,1.3738357361495355,129.2111337184906,0.001,2000,20,10,5,1.03,1.03,1000.0,1000.0
MLP,18,0.006602928689429603,1.3659244725643052,32.30957770347595,0.0005,500,20,10,5,1.03,1.01,1000.0,100.0
MLP,19,0.006043621891134019,1.3684250389220853,31.681605339050293,0.0005,500,20,10,5,1.03,1.01,1000.0,500.0
MLP,20,0.008066222386111805,1.3646151165125124,31.37969660758972,0.0005,500,20,10,5,1.03,1.01,1000.0,1000.0
MLP,21,0.004735949884257988,1.362830019119477,31.746704816818237,0.0005,500,20,10,5,1.03,1.03,1000.0,100.0
MLP,22,0.008377863179046229,1.3641382123521975,31.627798795700073,0.0005,500,20,10,5,1.03,1.03,1000.0,500.0
MLP,23,0.00879303436202285,1.3660001518911746,31.39363956451416,0.0005,500,20,10,5,1.03,1.03,1000.0,1000.0
MLP,24,0.0061803026398348174,1.3691697095848818,63.68879055976868,0.0005,1000,20,10,5,1.03,1.01,1000.0,100.0
MLP,25,0.003994694463688575,1.3719179162656174,63.626354694366455,0.0005,1000,20,10,5,1.03,1.01,1000.0,500.0
MLP,26,0.006151106857256628,1.3719105241799685,63.39923071861267,0.0005,1000,20,10,5,1.03,1.01,1000.0,1000.0
MLP,27,0.004068880041592337,1.3634313150165074,63.525561809539795,0.0005,1000,20,10,5,1.03,1.03,1000.0,100.0
MLP,28,0.00668717255306972,1.3691477467852085,62.44950866699219,0.0005,1000,20,10,5,1.03,1.03,1000.0,500.0
MLP,29,0.006469783794398371,1.3670558992287047,62.88680863380432,0.0005,1000,20,10,5,1.03,1.03,1000.0,1000.0
MLP,30,0.003586390873256446,1.3694808294872076,127.84485793113708,0.0005,2000,20,10,5,1.03,1.01,1000.0,100.0
MLP,31,0.0042402571510141065,1.3707219969298563,126.96297526359558,0.0005,2000,20,10,5,1.03,1.01,1000.0,500.0
MLP,32,0.005372417847752725,1.3697773253618095,128.7690212726593,0.0005,2000,20,10,5,1.03,1.01,1000.0,1000.0
MLP,33,0.003967188617257955,1.3649691470423202,129.02107644081116,0.0005,2000,20,10,5,1.03,1.03,1000.0,100.0
MLP,34,0.004279228188541863,1.3700345019985,127.95871233940125,0.0005,2000,20,10,5,1.03,1.03,1000.0,500.0
MLP,35,0.004527186970432989,1.3674395229511422,127.610680103302,0.0005,2000,20,10,5,1.03,1.03,1000.0,1000.0
