model,med,hv,time,lr,num_epochs,num_partitions,beta_C_0,beta_Q_0,rho_C,rho_Q,beta_C_max,beta_Q_max,MED,HV,id,expo_lambda,expo_alpha,expo_beta,expo_gamma,init_params,mu,max_iter
,,,,,,,,,,,,,0.0039325625590803,1.7011131989485158,11.0,0.51,0.1,0.5,0.3,2.0,0.01,1000.0
,,,,,,,,,,,,,0.0034497877581817,1.6945457973582267,12.0,0.51,0.1,0.5,0.5,1.0,0.0001,1000.0
,,,,,,,,,,,,,0.0047150584974149,1.6878838819670818,13.0,0.51,0.1,0.5,0.5,1.0,0.01,1000.0
,,,,,,,,,,,,,0.0029855387580904,1.700315294812131,14.0,0.51,0.1,0.5,0.5,2.0,0.0001,1000.0
,,,,,,,,,,,,,0.0029160254427532,1.7008524195243064,15.0,0.51,0.1,0.5,0.5,2.0,0.01,1000.0
,,,,,,,,,,,,,0.0033323489616313,1.694545797358227,16.0,0.51,0.25,0.3,0.3,1.0,0.0001,1000.0
,,,,,,,,,,,,,0.0045034358550493,1.6768759706666416,17.0,0.51,0.25,0.3,0.3,1.0,0.01,1000.0
,,,,,,,,,,,,,0.0027374509332379,1.700378354087229,18.0,0.51,0.25,0.3,0.3,2.0,0.0001,1000.0
,,,,,,,,,,,,,0.0032597797988447,1.679428942528363,19.0,0.51,0.25,0.3,0.3,2.0,0.01,1000.0
,,,,,,,,,,,,,0.0031719278375091,1.6945457973582272,20.0,0.51,0.25,0.3,0.5,1.0,0.0001,1000.0
,,,,,,,,,,,,,0.0040479517194109,1.701246587829264,21.0,0.51,0.25,0.3,0.5,1.0,0.01,1000.0
,,,,,,,,,,,,,0.0031803664569857,1.700258513002434,22.0,0.51,0.25,0.3,0.5,2.0,0.0001,1000.0
,,,,,,,,,,,,,0.0025292770645095,1.7002741911463948,23.0,0.51,0.25,0.3,0.5,2.0,0.01,1000.0
,,,,,,,,,,,,,0.0033323489616313,1.694545797358227,24.0,0.51,0.25,0.5,0.3,1.0,0.0001,1000.0
,,,,,,,,,,,,,0.0045034358550493,1.6768759706666416,25.0,0.51,0.25,0.5,0.3,1.0,0.01,1000.0
,,,,,,,,,,,,,0.0027374509332379,1.700378354087229,26.0,0.51,0.25,0.5,0.3,2.0,0.0001,1000.0
,,,,,,,,,,,,,0.0032597797988447,1.679428942528363,27.0,0.51,0.25,0.5,0.3,2.0,0.01,1000.0
,,,,,,,,,,,,,0.0031719278375091,1.6945457973582272,28.0,0.51,0.25,0.5,0.5,1.0,0.0001,1000.0
,,,,,,,,,,,,,0.0040479517194109,1.701246587829264,29.0,0.51,0.25,0.5,0.5,1.0,0.01,1000.0
,,,,,,,,,,,,,0.0031803664569857,1.700258513002434,30.0,0.51,0.25,0.5,0.5,2.0,0.0001,1000.0
,,,,,,,,,,,,,0.0025292770645095,1.7002741911463948,31.0,0.51,0.25,0.5,0.5,2.0,0.01,1000.0
,,,,,,,,,,,,,0.0030398908929377,1.7005802222276851,32.0,0.51,0.4,0.3,0.3,1.0,0.0001,1000.0
,,,,,,,,,,,,,0.0043823771086727,1.6974475580958344,33.0,0.51,0.4,0.3,0.3,1.0,0.01,1000.0
,,,,,,,,,,,,,0.0027250440786474,1.701062249682649,34.0,0.51,0.4,0.3,0.3,2.0,0.0001,1000.0
,,,,,,,,,,,,,0.0044981983867846,1.6983252329368712,35.0,0.51,0.4,0.3,0.3,2.0,0.01,1000.0
,,,,,,,,,,,,,0.003300707135115,1.6945457973582267,36.0,0.51,0.4,0.3,0.5,1.0,0.0001,1000.0
,,,,,,,,,,,,,0.0049309212115007,1.677650423097237,37.0,0.51,0.4,0.3,0.5,1.0,0.01,1000.0
,,,,,,,,,,,,,0.0031295436923483,1.7002585130024337,38.0,0.51,0.4,0.3,0.5,2.0,0.0001,1000.0
,,,,,,,,,,,,,0.0045247700741592,1.690946142931175,39.0,0.51,0.4,0.3,0.5,2.0,0.01,1000.0
,,,,,,,,,,,,,0.0030398908929377,1.7005802222276851,40.0,0.51,0.4,0.5,0.3,1.0,0.0001,1000.0
,,,,,,,,,,,,,0.0043823771086727,1.6974475580958344,41.0,0.51,0.4,0.5,0.3,1.0,0.01,1000.0
,,,,,,,,,,,,,0.0027250440786474,1.701062249682649,42.0,0.51,0.4,0.5,0.3,2.0,0.0001,1000.0
,,,,,,,,,,,,,0.0044981983867846,1.6983252329368712,43.0,0.51,0.4,0.5,0.3,2.0,0.01,1000.0
,,,,,,,,,,,,,0.003300707135115,1.6945457973582267,44.0,0.51,0.4,0.5,0.5,1.0,0.0001,1000.0
,,,,,,,,,,,,,0.0049309212115007,1.677650423097237,45.0,0.51,0.4,0.5,0.5,1.0,0.01,1000.0
,,,,,,,,,,,,,0.0031295436923483,1.7002585130024337,46.0,0.51,0.4,0.5,0.5,2.0,0.0001,1000.0
,,,,,,,,,,,,,0.0045247700741592,1.690946142931175,47.0,0.51,0.4,0.5,0.5,2.0,0.01,1000.0
,,,,,,,,,,,,,0.0025531996572267,1.7014778366152783,48.0,0.65,0.1,0.3,0.3,1.0,0.0001,1000.0
,,,,,,,,,,,,,0.0024692085384575,1.696281836406855,49.0,0.65,0.1,0.3,0.3,1.0,0.01,1000.0
,,,,,,,,,,,,,0.0028691186547472,1.697106663753653,50.0,0.65,0.1,0.3,0.3,2.0,0.0001,1000.0
,,,,,,,,,,,,,0.0027905977113765,1.6954251656361006,51.0,0.65,0.1,0.3,0.3,2.0,0.01,1000.0
,,,,,,,,,,,,,0.0019253656118641,1.7014778366152783,52.0,0.65,0.1,0.3,0.5,1.0,0.0001,1000.0
,,,,,,,,,,,,,0.0022143694221835,1.6992408127956606,53.0,0.65,0.1,0.3,0.5,1.0,0.01,1000.0
,,,,,,,,,,,,,0.0026058169219235,1.6971066637536532,54.0,0.65,0.1,0.3,0.5,2.0,0.0001,1000.0
,,,,,,,,,,,,,0.0027199773924361,1.700622038898648,55.0,0.65,0.1,0.3,0.5,2.0,0.01,1000.0
,,,,,,,,,,,,,0.0025531996572267,1.7014778366152783,56.0,0.65,0.1,0.5,0.3,1.0,0.0001,1000.0
,,,,,,,,,,,,,0.0024692085384575,1.696281836406855,57.0,0.65,0.1,0.5,0.3,1.0,0.01,1000.0
,,,,,,,,,,,,,0.0028691186547472,1.697106663753653,58.0,0.65,0.1,0.5,0.3,2.0,0.0001,1000.0
,,,,,,,,,,,,,0.0027905977113765,1.6954251656361006,59.0,0.65,0.1,0.5,0.3,2.0,0.01,1000.0
,,,,,,,,,,,,,0.0019253656118641,1.7014778366152783,60.0,0.65,0.1,0.5,0.5,1.0,0.0001,1000.0
,,,,,,,,,,,,,0.0022143694221835,1.6992408127956606,61.0,0.65,0.1,0.5,0.5,1.0,0.01,1000.0
,,,,,,,,,,,,,0.0026058169219235,1.6971066637536532,62.0,0.65,0.1,0.5,0.5,2.0,0.0001,1000.0
,,,,,,,,,,,,,0.0027199773924361,1.700622038898648,63.0,0.65,0.1,0.5,0.5,2.0,0.01,1000.0
,,,,,,,,,,,,,0.0019963564060931,1.7014778366152783,64.0,0.65,0.25,0.3,0.3,1.0,0.0001,1000.0
,,,,,,,,,,,,,0.0020747707235819,1.6977261246901358,65.0,0.65,0.25,0.3,0.3,1.0,0.01,1000.0
,,,,,,,,,,,,,0.0024853751832105,1.6971066637536532,66.0,0.65,0.25,0.3,0.3,2.0,0.0001,1000.0
,,,,,,,,,,,,,0.0027163621904675,1.6991673042108508,67.0,0.65,0.25,0.3,0.3,2.0,0.01,1000.0
,,,,,,,,,,,,,0.0018842567619476,1.701477836615278,68.0,0.65,0.25,0.3,0.5,1.0,0.0001,1000.0
,,,,,,,,,,,,,0.0018654096965302,1.6976019598294787,69.0,0.65,0.25,0.3,0.5,1.0,0.01,1000.0
,,,,,,,,,,,,,0.0021576983424154,1.700508065578123,70.0,0.65,0.25,0.3,0.5,2.0,0.0001,1000.0
,,,,,,,,,,,,,0.0027288172031044,1.7014898116960755,71.0,0.65,0.25,0.3,0.5,2.0,0.01,1000.0
,,,,,,,,,,,,,0.0019963564060931,1.7014778366152783,72.0,0.65,0.25,0.5,0.3,1.0,0.0001,1000.0
,,,,,,,,,,,,,0.0020747707235819,1.6977261246901358,73.0,0.65,0.25,0.5,0.3,1.0,0.01,1000.0
,,,,,,,,,,,,,0.0024853751832105,1.6971066637536532,74.0,0.65,0.25,0.5,0.3,2.0,0.0001,1000.0
,,,,,,,,,,,,,0.0027163621904675,1.6991673042108508,75.0,0.65,0.25,0.5,0.3,2.0,0.01,1000.0
,,,,,,,,,,,,,0.0018842567619476,1.701477836615278,76.0,0.65,0.25,0.5,0.5,1.0,0.0001,1000.0
,,,,,,,,,,,,,0.0018654096965302,1.6976019598294787,77.0,0.65,0.25,0.5,0.5,1.0,0.01,1000.0
,,,,,,,,,,,,,0.0021576983424154,1.700508065578123,78.0,0.65,0.25,0.5,0.5,2.0,0.0001,1000.0
,,,,,,,,,,,,,0.0027288172031044,1.7014898116960755,79.0,0.65,0.25,0.5,0.5,2.0,0.01,1000.0
,,,,,,,,,,,,,0.0012581137429632,1.6950697381589523,80.0,0.8,0.1,0.3,0.3,1.0,0.0001,1000.0
,,,,,,,,,,,,,0.001384165506694,1.696574581674117,81.0,0.8,0.1,0.3,0.3,1.0,0.01,1000.0
,,,,,,,,,,,,,0.0016703019219625,1.6950441830290377,82.0,0.8,0.1,0.3,0.3,2.0,0.0001,1000.0
,,,,,,,,,,,,,0.0018274751430083,1.698202564919475,83.0,0.8,0.1,0.3,0.3,2.0,0.01,1000.0
,,,,,,,,,,,,,0.0007134958458184,1.6950697381589523,84.0,0.8,0.1,0.3,0.5,1.0,0.0001,1000.0
,,,,,,,,,,,,,0.0008180665398623,1.6961576031835084,85.0,0.8,0.1,0.3,0.5,1.0,0.01,1000.0
,,,,,,,,,,,,,0.0010673833133558,1.6950441830290377,86.0,0.8,0.1,0.3,0.5,2.0,0.0001,1000.0
,,,,,,,,,,,,,0.0010758428076408,1.695292797415515,87.0,0.8,0.1,0.3,0.5,2.0,0.01,1000.0
,,,,,,,,,,,,,0.0012581137429632,1.6950697381589523,88.0,0.8,0.1,0.5,0.3,1.0,0.0001,1000.0
,,,,,,,,,,,,,0.001384165506694,1.696574581674117,89.0,0.8,0.1,0.5,0.3,1.0,0.01,1000.0
,,,,,,,,,,,,,0.0016703019219625,1.6950441830290377,90.0,0.8,0.1,0.5,0.3,2.0,0.0001,1000.0
,,,,,,,,,,,,,0.0018274751430083,1.698202564919475,91.0,0.8,0.1,0.5,0.3,2.0,0.01,1000.0
,,,,,,,,,,,,,0.0007134958458184,1.6950697381589523,92.0,0.8,0.1,0.5,0.5,1.0,0.0001,1000.0
,,,,,,,,,,,,,0.0008180665398623,1.6961576031835084,93.0,0.8,0.1,0.5,0.5,1.0,0.01,1000.0
,,,,,,,,,,,,,0.0010673833133558,1.6950441830290377,94.0,0.8,0.1,0.5,0.5,2.0,0.0001,1000.0
,,,,,,,,,,,,,0.0010758428076408,1.695292797415515,95.0,0.8,0.1,0.5,0.5,2.0,0.01,1000.0
